model,pct_missing,metric,method_a,method_b,n_pairs,mean_a,mean_b,mean_diff_a_minus_b,median_diff_a_minus_b,p_value,p_value_adj_holm,significant,wilcoxon_statistic
logreg,10,f1,empty,mean,50,0.6736,0.646,0.0275,0.0323,0.0005,0.0032,True,284.0
logreg,10,f1,knn_5,median,50,0.6487,0.6377,0.011,0.0073,0.0029,0.0145,True,334.0
logreg,20,f1,mean,median,50,0.6346,0.6268,0.0078,0.0093,0.0042,0.0418,True,345.0
logreg,15,f1,knn_5,median,50,0.65,0.6335,0.0165,0.0167,0.0001,0.001,True,251.0
logreg,15,f1,mean,median,50,0.6423,0.6335,0.0088,0.0087,0.0,0.0005,True,192.0
logreg,10,f1,empty,median,50,0.6736,0.6377,0.0359,0.0394,0.0,0.0001,True,194.0
logreg,10,f1,empty,mice,50,0.6736,0.6409,0.0327,0.0323,0.0,0.0001,True,207.0
logreg,10,f1,mean,median,50,0.646,0.6377,0.0084,0.0088,0.0004,0.0031,True,216.0
tree_overfit,20,f1,empty,mice,50,0.5637,0.6157,-0.052,-0.0678,0.0031,0.031,True,336.0
logreg,10,f1,empty,knn_5,50,0.6736,0.6487,0.0249,0.0303,0.0008,0.0047,True,298.0
tree_overfit,10,f1,median,mice,50,0.6207,0.6256,-0.0049,-0.0023,0.5656,1.0,False,577.0
tree_overfit,10,f1,mean,mice,50,0.6245,0.6256,-0.001,-0.0071,0.6806,1.0,False,594.0
tree_overfit,10,f1,mean,median,50,0.6245,0.6207,0.0038,0.0041,0.3079,1.0,False,510.0
tree_overfit,10,f1,knn_5,mice,50,0.626,0.6256,0.0004,-0.0094,0.4548,1.0,False,559.0
tree_overfit,10,f1,knn_5,median,50,0.626,0.6207,0.0053,-0.0031,0.3673,1.0,False,543.0
logreg,5,f1,empty,knn_5,50,0.6596,0.6595,0.0001,0.0023,1.0,1.0,False,637.0
tree_overfit,15,f1,empty,mean,50,0.6202,0.6145,0.0057,-0.0012,0.6597,1.0,False,591.0
tree_overfit,10,f1,knn_5,mean,50,0.626,0.6245,0.0014,0.0017,0.5148,1.0,False,569.0
tree_overfit,10,f1,empty,mice,50,0.6263,0.6256,0.0007,0.0036,0.7304,1.0,False,601.0
tree_overfit,10,f1,empty,median,50,0.6263,0.6207,0.0056,0.0101,0.3183,1.0,False,533.0
tree_overfit,10,f1,empty,mean,50,0.6263,0.6245,0.0017,0.0188,0.5852,1.0,False,580.0
tree_overfit,10,f1,empty,knn_5,50,0.6263,0.626,0.0003,0.005,0.7814,1.0,False,608.0
tree_overfit,5,f1,median,mice,50,0.6353,0.6423,-0.007,-0.0063,0.2045,1.0,False,505.0
tree_overfit,5,f1,mean,mice,50,0.6386,0.6423,-0.0037,-0.0046,0.3622,1.0,False,542.0
tree_overfit,5,f1,mean,median,50,0.6386,0.6353,0.0034,0.0036,0.3725,1.0,False,544.0
tree_overfit,15,f1,empty,knn_5,50,0.6202,0.6222,-0.0019,-0.0047,0.7522,1.0,False,604.0
tree_overfit,15,f1,knn_5,mice,50,0.6222,0.6244,-0.0023,-0.0054,0.4964,1.0,False,566.0
tree_overfit,15,f1,empty,median,50,0.6202,0.6174,0.0028,0.0086,0.7741,1.0,False,607.0
tree_overfit,20,f1,empty,knn_5,50,0.5637,0.6053,-0.0416,-0.0443,0.04,0.3197,False,425.0
tree_overfit,20,f1,knn_5,median,50,0.6053,0.5996,0.0057,0.0119,0.3622,1.0,False,542.0
tree_overfit,20,f1,knn_5,mean,50,0.6053,0.6024,0.0028,0.0026,0.7814,1.0,False,608.0
tree_overfit,20,f1,knn_5,mice,50,0.6053,0.6157,-0.0104,-0.0111,0.0756,0.3808,False,453.0
tree_overfit,20,f1,empty,median,50,0.5637,0.5996,-0.0359,-0.0507,0.0635,0.3808,False,445.0
tree_overfit,20,f1,empty,mean,50,0.5637,0.6024,-0.0388,-0.0445,0.0708,0.3808,False,450.0
tree_overfit,20,f1,mean,mice,50,0.6024,0.6157,-0.0133,-0.012,0.0472,0.3304,False,432.0
tree_overfit,20,f1,median,mice,50,0.5996,0.6157,-0.0161,-0.0193,0.0236,0.2123,False,404.0
tree_overfit,15,f1,empty,mice,50,0.6202,0.6244,-0.0042,0.0011,0.6947,1.0,False,596.0
tree_overfit,15,f1,median,mice,50,0.6174,0.6244,-0.007,-0.0092,0.2571,1.0,False,519.0
tree_overfit,15,f1,mean,mice,50,0.6145,0.6244,-0.0099,-0.0138,0.1659,1.0,False,493.0
tree_overfit,15,f1,mean,median,50,0.6145,0.6174,-0.0029,-0.0045,0.449,1.0,False,558.0
tree_overfit,5,f1,knn_5,mean,50,0.6313,0.6386,-0.0074,0.0034,0.5025,1.0,False,567.0
tree_overfit,15,f1,knn_5,median,50,0.6222,0.6174,0.0048,0.0098,0.5086,1.0,False,568.0
tree_overfit,15,f1,knn_5,mean,50,0.6222,0.6145,0.0077,0.0133,0.3183,1.0,False,533.0
tree_overfit,5,f1,knn_5,median,50,0.6313,0.6353,-0.004,0.0025,0.7522,1.0,False,604.0
tree_overfit,5,f1,empty,mice,50,0.6287,0.6423,-0.0136,-0.021,0.0381,0.3808,False,423.0
tree_overfit,5,f1,empty,median,50,0.6287,0.6353,-0.0065,-0.007,0.521,1.0,False,570.0
logreg,5,f1,median,mice,50,0.6563,0.6565,-0.0002,-0.0016,0.9618,1.0,False,632.0
logreg,15,f1,knn_5,mice,50,0.65,0.6416,0.0083,0.0116,0.0772,0.6045,False,454.0
logreg,15,f1,knn_5,mean,50,0.65,0.6423,0.0077,0.009,0.084,0.6045,False,458.0
logreg,10,f1,median,mice,50,0.6377,0.6409,-0.0032,-0.0035,0.3572,0.7144,False,541.0
logreg,10,f1,knn_5,mean,50,0.6487,0.646,0.0026,0.0007,0.4152,0.7144,False,552.0
logreg,10,f1,mean,mice,50,0.646,0.6409,0.0052,0.0062,0.2115,0.6345,False,507.0
logreg,10,f1,knn_5,mice,50,0.6487,0.6409,0.0078,0.0038,0.0693,0.2772,False,449.0
logreg,5,f1,mean,mice,50,0.6569,0.6565,0.0004,-0.0005,0.9238,1.0,False,627.0
logreg,15,f1,empty,knn_5,50,0.643,0.65,-0.007,-0.0079,0.4843,1.0,False,564.0
logreg,5,f1,mean,median,50,0.6569,0.6563,0.0006,0.0,0.7216,1.0,False,403.0
logreg,5,f1,knn_5,mice,50,0.6595,0.6565,0.003,0.004,0.2374,1.0,False,514.0
logreg,5,f1,knn_5,median,50,0.6595,0.6563,0.0032,0.0028,0.1781,1.0,False,497.0
logreg,5,f1,knn_5,mean,50,0.6595,0.6569,0.0026,0.0017,0.2612,1.0,False,520.0
logreg,5,f1,empty,mice,50,0.6596,0.6565,0.0031,0.0039,0.5721,1.0,False,578.0
logreg,5,f1,empty,median,50,0.6596,0.6563,0.0033,0.0054,0.4964,1.0,False,566.0
logreg,15,f1,median,mice,50,0.6335,0.6416,-0.0082,-0.0053,0.0756,0.6045,False,453.0
logreg,15,f1,empty,mean,50,0.643,0.6423,0.0007,-0.0051,0.8934,1.0,False,623.0
tree_overfit,5,f1,empty,mean,50,0.6287,0.6386,-0.0099,-0.0098,0.2187,1.0,False,509.0
logreg,20,f1,empty,median,50,0.6315,0.6268,0.0047,0.0128,0.6051,1.0,False,583.0
tree_overfit,5,f1,empty,knn_5,50,0.6287,0.6313,-0.0025,-0.0176,0.709,1.0,False,598.0
tree_overfit,5,f1,knn_5,mice,50,0.6313,0.6423,-0.011,-0.0161,0.0756,0.6801,False,453.0
logreg,5,f1,empty,mean,50,0.6596,0.6569,0.0027,0.0024,0.709,1.0,False,598.0
logreg,20,f1,median,mice,50,0.6268,0.6321,-0.0053,-0.009,0.3091,1.0,False,531.0
logreg,20,f1,mean,mice,50,0.6346,0.6321,0.0025,0.0003,0.6459,1.0,False,589.0
logreg,20,f1,empty,mice,50,0.6315,0.6321,-0.0006,0.018,0.9542,1.0,False,631.0
logreg,20,f1,empty,mean,50,0.6315,0.6346,-0.0031,0.0176,0.8482,1.0,False,617.0
logreg,15,f1,empty,median,50,0.643,0.6335,0.0095,0.004,0.3091,1.0,False,531.0
logreg,20,f1,empty,knn_5,50,0.6315,0.6398,-0.0083,0.0019,0.5527,1.0,False,575.0
logreg,20,f1,knn_5,mean,50,0.6398,0.6346,0.0052,0.0103,0.1185,0.8294,False,475.0
logreg,20,f1,knn_5,mice,50,0.6398,0.6321,0.0077,0.0085,0.0951,0.7611,False,464.0
logreg,20,f1,knn_5,median,50,0.6398,0.6268,0.013,0.018,0.0088,0.0796,False,369.0
logreg,15,f1,mean,mice,50,0.6423,0.6416,0.0007,0.0042,0.4708,1.0,False,540.0
logreg,15,f1,empty,mice,50,0.643,0.6416,0.0014,-0.0024,0.8783,1.0,False,621.0
tree_overfit,20,f1,mean,median,50,0.6024,0.5996,0.0028,0.0012,0.4548,1.0,False,559.0
